Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10u,C15525
"C10, C9",0402,2,1n,C1523
"C14, C3, C4",0402,3,100n,C1525
"C15, C16",0402,2,1u,C52923
C2,0402,1,4u7,C23733
"C7, C8",0402,2,10n,C15195
D1,D_SOD-523,1,1SS424,C6657698
"D2, D3, D7, D8",D_SOD-523,4,ESD5Z36,C20933
D4,D_SOD-523,1,ESD5Zxx,C20933
"FB1, FB2",0402,2,120R,C76891
IC1,WSON-8-1EP_3x3mm_P0.5mm_EP1.2x2mm,1,INA826AID,C2870890
J3,R_Axial_DIN0204_L3.6mm_D1.6mm_P1.90mm_Vertical,1,Conn_01x02_Socket,
J5,PinHeader_1x04_P1.27mm_Vertical,1,Conn_01x04_Socket,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,ADR1,
JP2,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,ADR0,
JP3,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,SolderJumper_3_Open,
"R1, R2",0402,2,47k,C25792
"R10, R9",0402,2,100,C25076
"R5, R6",0402,2,10k,C25744
TP1,TestPoint_Pad_D1.5mm,1,TestPoint,
U2,SOT-23-5,1,MCP6001-OT,C116490
U3,SOT-23-5,1,MIC5504-3.3YM5,C3021093
U4,VSSOP-8_3x3mm_P0.65mm,1,ADC101C021CIMM,C1543337
